Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
Senior Data Scientist,$107K-$169K (Glassdoor est.),"Senior Data Scientist
Location


New Jersey, Camden

Job Code

32505

# of Openings

1

Apply Now

ul,p {width:100%;}

Summary:

Data Scientist will support our sales, service, marketing, fixed ops and leadership teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization using a variety of data analysis methods, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Responsibilities:
Work closely with our business partners to support their department strategy. Implements this strategy by reviewing our various data sets to understand data trends.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Perform strategic data analysis and research to better understand our customers.
Ability to draw insights from multiple data sources to provide bettere visibility into safety/quality related issues.
Develop analytical approaches to answer high-level questions and develop insightful recommendations.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Demonstrate a client-service mindset and a desire to take on tough and challenging projects.
Ability to balance the demands of multiple projects simultaneously.
Additional Responsibilities:
Mentors IT staff and business users regarding data science and analysis procedures in order to ensure business goals and objectives are met.
Assists in preparation and cleansing of data for analysis.
Educates business users on advanced analytics best practices.
Required Skills/Abilities
Strong problem-solving skills.
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Prior experience with visualization tools such as D3.js, HTML, and CSS is a plus.
Linux server-side application administration experience (RStudio Server, Shiny Server, RStudio Connect) a plus.
Experience with distributed data/computing tools: Hive, Impala, Spark (pyspark, sparklyr), GCP BigQuery, AWS S3 etc.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Education/Experience

BA/BS(4 year degree) + with a minimum of 4-6 years of related experience.

Take a look at the IT Team! Listen to our employees - see our staff and their stories.

https://www.themuse.com/profiles/subaruofamerica",3.9,"Subaru of America
3.9","Camden, NJ",-1,1001 to 5000 Employees,1968,Subsidiary or Business Segment,Transportation Equipment Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
Data Scientist -- Senior,$72K-$122K (Glassdoor est.),"A Senior Data Scientist at Amobee is responsible for the collection, verification and cleaning of data that is generated by the company or provided by our partners to meet our business needs. The Senior Data Scientist is also responsible for creating and executing of research agendas in the fields of natural language processing, audience analytics and bid optimization, as well as the delivery of statistically valid solutions for implementation and deployment by our engineering teams. Additionally, the Senior Data Scientist is responsible for identifying and advising the company about the viability of new potential projects and about the value of potential data partnerships.

Responsibilities
Researching existing state-of-the-art solutions for data driven problems that are similar to the ones Amobee faces and convert them to fit our business needs
Identifying relevant data sources that will help create new data driven products
Executing analytical experiments to measure the quality of our products and monitor it over time
Creating detailed reports and analytics for the performance of our data driven solutions
Implementing improvements to our existing data driven products
Qualifications
Degree in Operations Research, Computer Science, Mathematics, Statistics, Industrial Engineering, Mechanical Engineering, Physics, or related field; MS/PhD preferred
3+ years of relevant experience
Strong analytical, statistical, and math abilities; Exceptional problem-solving skills
Knowledge in Python/Java/Clojure
Knowledge in at least one deep learning framework
Excellent communication skills
Extreme attention to detail
Ability to work as part of a team in a fast-paced environment
#LI-KR1

About Amobee
The world’s leading independent advertising platform, Amobee unifies all advertising channels—including TV, programmatic and social—across all formats and devices. We provide marketers with streamlined, advanced media planning capabilities powered by in-depth analytics and proprietary audience data. Our platform and technology, provides the most advanced advertising solutions for the convergence of digital and advanced TV— including linear TV, over the top, connected TV, and premium digital video. Enabling advertisers to plan and activate across more than 150 integrated partners, including Facebook, Instagram, Pinterest, Snapchat and Twitter.

Amobee has been named to Fortune’s Top 10 Best Workplaces in Advertising and Marketing. Amobee’s platforms have been widely recognized amongst our industry winning numerous awards in technology innovation, see all Amobee Awards. We are a wholly owned subsidiary of Singtel, one of the largest telco companies in the world, reaching over 700 million mobile subscribers in 21 countries. Amobee operates across North America, Europe, Middle East, Asia and Australia. For more information, visit amobee.com or follow @amobee

In addition to our great environment, we offer a competitive base salary, employee development programs and other comprehensive benefits. Please send a cover letter along with your resume when applying to the position of interest located at Amobee.com. We are an Equal Opportunity Employer. No phone calls and no recruiting agencies, please.",3.9,"Amobee
3.9","Baltimore, MD",-1,501 to 1000 Employees,2005,Company - Private,Advertising & Marketing,Business Services,$500 million to $1 billion (USD),-1
Data Scientist,$94K-$158K (Glassdoor est.),"Date Posted:
2020-11-03-08:00
Country:
United States of America
Location:
UTNB1: Corp - Brooklyn NY 55 Water St, Brooklyn, NY, 11201 USA
Raytheon Technologies
Raytheon Technologies Corporation is an aerospace and defense company that provides advanced systems and services for commercial, military and government customers worldwide. It comprises four industry-leading businesses – Collins Aerospace Systems, Pratt & Whitney, Raytheon Intelligence & Space and Raytheon Missiles & Defense. Its 195,000 employees enable the company to operate at the edge of known science as they imagine and deliver solutions that push the boundaries in quantum physics, electric propulsion, directed energy, hypersonics, avionics and cybersecurity. The company, formed in 2020 through the combination of Raytheon Company and the United Technologies Corporation aerospace businesses, is headquartered in Waltham, Massachusetts
Position
We are seeking highly motivated data scientists to join the Digital Accelerator team in either Brooklyn, NY or Atlanta, GA. We are looking for people who have a passion for analyzing and uncovering digital insights from large, complex streams of data derived from the worlds most advanced aerospace, aviation and building management systems.

As a member of the team, you will work on the research, development, and implementation of complex machine learning systems to predict rare events and faults in aerospace and building system components.

This position will provide the unique opportunity to operate in a start-up-like environment within a Fortune 50 company. Our digital focus is geared towards releasing the insights inherent UTCs best-in-class products and services. Together we aim to achieve new levels of productivity by changing the way we work and identifying new sources of growth for our customers.

Job Responsibilities include:
Develop models and algorithms that will improve how we design, manufacture, monitor, and maintain industrial assets such as jet engines and other aviation systems.
Conduct exploratory data analysis
Participate in early stage R&D work to further advance the ML platform
Collaborate with software development to implement and deploy newly developed technologies and algorithms
Work with business units and lead data scientists to implement real-world critical use cases on the platform
Build scripts to automate, clean, transform, cross-reference and merge large sources of data utilizing Python
Results-oriented with a strong sense of ownership in delivering for our customer and businesses
Qualification:
5+ years related experience
Deep knowledge of machine learning, statistics, optimization or related field
Experience with R, Python, Perl, Matlab
Experience with industrial/commercial applications of data science including prognostic and health management, supply chain optimization, and human capital management is a significant plus
Excellent written and verbal communication skills along with the ability to well work in cross functional teams
Work experience in programming, data science, machine learning
Motivated self-starter with a strong enthusiasm to learn
Results-oriented with strong communication and customer focus
Ability to deal well with ambiguous and undefined problems
Education:
Masters or PhD in engineering, computer science, statistics, or operations research or related technical discipline
Raytheon Technologies is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class.
Privacy Policy and Terms:
Click on this link to read the Policy and Terms

Raytheon Technologies is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",3.8,"Raytheon Technologies Corporate
3.8","Brooklyn, NY",-1,10000+ Employees,2020,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
Data Scientist/Applied Mathematician R-20,-1,"Data Scientist/Applied Mathematician R-20
The successful applicant will work in a team of researchers active in the areas of computational combustion, propulsion system development and laboratory testing. There will be opportunities to interact with leading researchers in applied mathematics and aerospace engineering in academia and industry. This position involves (a) developing and deploying high fidelity flow simulation software and (b) applying state of the art tools in model reduction, machine learning and design optimization, primarily to model unsteady turbulent combustion phenomena in engineering devices. There will be applications in a number of other areas of aerospace propulsion.
Qualifications
MS or PhD in Mathematics in Mechanical/Aerospace/Chemical Engineering
Must have a strong background in gas dynamics and computational fluid mechanics
Background in modeling turbulent flow and/or chemically reacting flows is desirable
Familiarity with parallel computations, CAD, and grid generation skills is desirable
Knowledge of LINUX environment, MATLAB, Python, R, FORTRAN, C++. Must know as many as possible.
Must be a US Citizenship with ability to obtain a security clearance
Must be able to pass a background check
Summary of Essential Job Functions
Developing and deploying high fidelity flow simulation software
Applying state of the art tools in model reductions, machine learning, and design optimization, primarily to model unsteady turbulent combustion phenomena in engineering devices
Work in a team of researchers active in the areas of computational combustion, propulsion system development, and laboratory testing
Experience in numerically solving partial differential equations, with a particular focus on fluid equations and turbulence preferred
Must be able to operate in a team environment
Good interpersonal, reporting, and communication skills (written and verbal)
Collaboration with external research groups
Participate in technical symposia
Publishing in refereed journals
Maintaining a strong international reputation is expected
Work environment is inside with possibility of teleworking
Work schedule is a 9-80 schedule
There are no special requirements for this position
Job Type: Full-time
Pay: $75,000.00 - $105,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Schedule:
Monday to Friday
Education:
Master's (Required)
Experience:
Matlab: 1 year (Preferred)
Python: 1 year (Preferred)
C++: 1 year (Preferred)
FORTRAN: 1 year (Preferred)
Work Location:
One location
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",5.0,"Exquadrum, Inc.
5.0","Edwards AFB, CA",-1,1 to 50 Employees,-1,Company - Private,Research & Development,Business Services,$1 to $5 million (USD),-1
Flight / Ground Data Processing Architect - Embedded Systems (Early/Mid-Career),$51K-$94K (Glassdoor est.),"Posting Duration

This posting will be open for application submissions for a minimum of seven (7) calendar days, including the ‘posting date’. Sandia reserves the right to extend the posting date at any time.
What Your Job Will Be Like

Passionate about your work and dream of utilizing state-of-the-art facilities to explore solutions? Join a dynamic team that solves significant issues and challenges for our nation's security!
We are seeking a motivated Computer Scientist to design, implement, test, and deploy innovative software frameworks and data processing architectures for embedded flight and ground systems. Our work is incorporated into complex real-time decision support systems for remote sensing and other data acquisition, and analysis applications. The work performed in our group, encompasses a wide variety of topics within computer science and software development, to include:
Embedded systems
Real-time data processing
Object-oriented software frameworks/architecture development
Networked and distributed architectures
Testing and validation frameworks
On any given day the selected applicant may be called on to:
Assume responsibilities for the research, development, and engineering of unique software solutions to tackle complicated technical problems
Assist in improving national security by engaging in areas that could include: Intelligence, surveillance and reconnaissance; hypersonic vehicles; integrated defense systems; Radar, RF, and optical systems; remote sensing; satellite systems
Qualifications We Require
Master’s degree in Computer Science, Computer Engineering, Software Engineering or related field; OR BS degree in the stated fields plus 4 years’ experience
Experience with object-oriented software design and development (e.g. C++)
Can obtain a DOE Q clearance
Qualifications We Desire
Proven software development skills and familiarity with modern software development methodologies, practices, and tools
Web application development in Java and/or C#
Proficiency using IBM Rational Rhapsody, modeling environment based on UML
Experience targeting embedded processors in FPGAs
Experience developing in Unix/Linux operating environments
Proven experience in scientific/engineering data processing software development
Experience in real-time processing of sensor data
Current DOE Q-level clearance
About Our Team

We are responsible for developing software and hardware solutions to complex engineering and science problems throughout the Satellite/Monitoring enterprise using industry standard practices and methodologies.
The team uses a variety of languages in developing our software applications including Java, C#, C++, PHP, JQuery, Go, PL/SQL, and PERL. We develop, host and administer our own databases which include Oracle, MySQL, Mongo and SQLServer.
We collaborate with other organizations (5321) responsible for embedded satellite systems, embedded flight systems, and embedded ground systems. These systems range from localized controller applications to high-end node-based computers serving as the heart of a satellite payload and consists of staff from the subject areas of electrical engineering, computer engineering, computer science, and electronics technology. These highly skilled staff members bring a quality emphasis to the creation of robust reliable embedded system designs.

About Sandia

Sandia National Laboratories is the nation’s premier science and engineering lab for national security and technology innovation, with teams of specialists focused on cutting-edge work in a broad array of areas. Some of the main reasons we love our jobs:
Challenging work with amazing impact that contributes to security, peace, and freedom worldwide
Extraordinary co-workers
Some of the best tools, equipment, and research facilities in the world
Career advancement and enrichment opportunities
Flexible schedules, generous vacations, strong medical and other benefits, competitive 401k, learning opportunities, relocation assistance and amenities aimed at creating a solid work/life balance*

World-changing technologies. Life-changing careers. Learn more about Sandia at: http://www.sandia.gov
These benefits vary by job classification.
Security Clearance

Sandia is required by DOE to conduct a pre-employment drug test and background review that includes checks of personal references, credit, law enforcement records, and employment/education verifications. Applicants for employment need to be able to obtain and maintain a DOE Q-level security clearance, which requires U.S. citizenship. If you hold more than one citizenship (i.e., of the U.S. and another country), your ability to obtain a security clearance may be impacted.
Applicants offered employment with Sandia are subject to a federal background investigation to meet the requirements for access to classified information or matter if the duties of the position require a DOE security clearance. Substance abuse or illegal drug use, falsification of information, criminal activity, serious misconduct or other indicators of untrustworthiness can cause a clearance to be denied or terminated by DOE, resulting in the inability to perform the duties assigned and subsequent termination of employment.
EEO

All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, age, disability, or veteran status and any other protected class under state or federal law.",4.1,"Sandia National Laboratories
4.1","Albuquerque, NM",-1,10000+ Employees,1949,Government,Federal Agencies,Government,$2 to $5 billion (USD),-1
"Senior Data Scientist, Schools",$110K-$181K (Glassdoor est.),"What do we do?

At Teachers Pay Teachers (TpT), we're unlocking the power of educator-created content. More than 3 out of 4 teachers in the U.S., Canada, and Australia come to TpT every year to get teacher-tested, engaging, and rigorous materials. What began as a humble exchange for teachers looking to share lesson plans has since exploded into a massive marketplace where teachers have created more than 4 million resources for all aspects of PreK-12 education. More than six million educators worldwide (including teachers, administrators, and parents) have downloaded TpT resources more than a billion times. According to Fast Company, Teachers Pay Teachers is one of the top 50 Most Innovative Companies in the world in 2019. If you haven't heard of TpT yet and want to learn more, just ask a teacher.

Role

As a Senior Data Scientist you will be responsible for finding valuable insights related to our new and rapidly growing TpT School Access subscription product. You will work with product managers, business managers, data analysts, and data engineers across Engineering, Product, Sales and Marketing, and you'll use research techniques such as data visualization, statistical modeling, and machine learning to explore data, test hypotheses, identify underlying causes and patterns, and find the best ways to turn these insights into better decisions and product improvements.

You should be deeply curious, comfortable solving unstructured problems with large datasets, and excited to learn and grow your skills and domain knowledge.

Responsibilities
Help the company understand user behavior and in turn improve our product. You'll use the tools of data science, from exploratory data analysis, through statistical and predictive modeling, to data visualization and presentation.
Be a creative, critical thinker and a key member of our product teams. You'll synthesize your quantitative results with deep domain knowledge and work with others to guide strategic and day-to-day decisions.
Develop insightful predictive models to improve internal decision-making, and prototype predictive models that could be incorporated into our products.
Perform research in a product and business-driven, fast-paced, dynamic environment.
Work within our analytics technical stack, including R, BigQuery, Heap, GitHub, LaunchDarkly, and Looker.
Mentor teammates and teach what you've learned.
Qualities for a successful candidate
A track record of value-creation in previous organizations, using data science techniques to model and explain user behavior on web sites and/or B2B purchasing behavior.
Advanced knowledge of SQL and R (or Python) for data science, including reproducible research tools and processes, data exploration and visualization, and statistical modeling.
Statistical and mathematical depth equivalent to a Masters in Applied Statistics, either from a degree program or experience, including advanced regression and probabilistic modeling.
Able to choose machine learning models, train and tune them with good practices, extract insights, and suggest opportunities to productionize them.
Outstanding communications skills, including the ability to speak clearly to technical and nontechnical audiences, present insights to groups, and write clearly.
Able to keep complex projects on track and focused on value-creation.
At least three years of insights-focused data science experience in industry (less if you have a PhD in a related field).
Extracurriculars:
Parental leave for both mothers and fathers to be able to take some quality time in bonding with their new addition to their family
Comprehensive Medical & Dental Benefits
Mother's Room
Quiet Room
Company Events (Bring Your Child to Work Day, Field Day, Camp TpT, Hackathons etc.)
Here at TpT we value Diversity & Inclusion and encourage people to bring their most authentic selves to work. We cultivate an environment where people are recognized and celebrated for their individuality.

Any TpT applicant who requires reasonable accommodations during the interview process can contact the TpT People Ops Team (accommodations@teacherspayteachers.com) to make the need for an accommodation known.

Finally, if you're a California resident, California law requires that we provide you notice about the collection and use of your personal information. We encourage you to read it carefully. You can find our full notice here.",4.9,"Teachers Pay Teachers
4.9","New York, NY",-1,51 to 200 Employees,2006,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1
Lead Data Scientist,-1,"LEAD DATA SCIENTIST
MOBILE APP
NEW YORK CITY
$150,000-170,000
Are you passionate about supporting small businesses? If you want your efforts to have a direct impact on small businesses, this could be the next step in your career! This company is rapidly growing in the food industry and they are looking for a Lead Data Scientist to push their marketing efforts even further.
THE ROLE: LEAD DATA SCIENTIST
As the Lead Data Scientist, you will be using data and insights to improve the companies marketing capabilities. Your responsibilities will include:
Define the strategies to improve the marketing efficiency of the media performance
Build full-cycle experiments and reports using SQL, R, and Python
Own the tracking and modelling of acquisition, attribution and campaign performances across all of the different marketing channels
Identify essential metrics and build dashboards to track progress in order to manage projects
YOUR SKILLS AND EXPERTISE
Prior experience in Marketing and paid media
Proficient in SQL and experience in data ETL in large database systems
Proven experience of using analyses to impact key business decisions
Experience running advanced analyses in Python, R etc
SALARY AND BENEFITS
$150,000-170,000
Positive workplace and culture
Generous benefit package
HOW TO APPLY
Please register your interest by sending your resume to Olivia Jones via the Apply link on this page
KEYWORDS
Data, Science, Marketing, Media, Insights, SQL, R, Python, Acquisition, Attribution, ETL, Dashboards, Reports",4.0,"Harnham
4.0","New York, NY",-1,51 to 200 Employees,2006,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),-1
Sr. Data Scientist,-1,"Our Client is looking for a senior data science professional who will be focused on machine learning, predictive analytics and related projects. You will develop the most relevant models, and use the best technologies for implementation. Join a growing technology-driven organization in the suburbs of Boston.
Position Title: Sr. Data Scientist
Location: Newton area, close to Mass. Pike
Our client:
Established local technology-driven company with impressive record of growth
Comprehensive benefits including 401(k), medical, dental, vision, etc.
Flexible schedules. Bring your dog.
Position Details:
Focus on machine learning, predictive analytics and related projects.
Develop the most relevant models, and use the best technologies for implementation.
Contribute to development and productivity of cloud-based healthcare software products.
Experience Profile:
MS degree in Computer Science, Physics, Math or related (PhD is helpful)
3-5+ years of professional experience devoted to data science
Expertise in machine learning, deep learning, and ML modeling techniques
Strengths in deep learning, methods
Current/active hands-on Machine Learning coding skills.
Experience with the development and deployment of ML and predictive models
Commercial level coding skills in Python
Proficiency with Python and/or other languages, e.g., Perl, C/C++, java, etc.
Modeling theory or expertise
Experience with modern data science tools
Experience collaborating with cross-functional teams
Excellent verbal communication and business acumen
Stable record of direct employment
Helpful/Desired:
PhD in Computer Science, Physics, Math or related
Experience with Tensorflow, pyTorch, Keras, Spark, H2O, Scikit-Learn, etc.
AWS, Python, data extraction, SQL, R, Jupyter, SAS, RStudio, etc.
Healthcare experience preferred, but not required
AWS experience preferred
NOTES:
This is a full time direct hire position.
Local candidates only.
Sponsorship can be considered for candidates who are a superior fit.
No third parties please.",3.9,"Gables Search Group
3.9","Newton, MA",-1,1 to 50 Employees,2001,Company - Private,Building & Personnel Services,Business Services,$1 to $5 million (USD),-1
Senior Data Scientist,$107K-$169K (Glassdoor est.),"Senior Data Scientist
Location


New Jersey, Camden

Job Code

32505

# of Openings

1

Apply Now

ul,p {width:100%;}

Summary:

Data Scientist will support our sales, service, marketing, fixed ops and leadership teams with insights gained from analyzing company data. The ideal candidate is adept at using large data sets to find opportunities for product and process optimization using a variety of data analysis methods, building and implementing models, using/creating algorithms and creating/running simulations. They must have a proven ability to drive business results with their data-based insights. They must be comfortable working with a wide range of stakeholders and functional teams. The right candidate will have a passion for discovering solutions hidden in large data sets and working with stakeholders to improve business outcomes.

Responsibilities:
Work closely with our business partners to support their department strategy. Implements this strategy by reviewing our various data sets to understand data trends.
Use predictive modeling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Perform strategic data analysis and research to better understand our customers.
Ability to draw insights from multiple data sources to provide bettere visibility into safety/quality related issues.
Develop analytical approaches to answer high-level questions and develop insightful recommendations.
Develop processes and tools to monitor and analyze model performance and data accuracy.
Demonstrate a client-service mindset and a desire to take on tough and challenging projects.
Ability to balance the demands of multiple projects simultaneously.
Additional Responsibilities:
Mentors IT staff and business users regarding data science and analysis procedures in order to ensure business goals and objectives are met.
Assists in preparation and cleansing of data for analysis.
Educates business users on advanced analytics best practices.
Required Skills/Abilities
Strong problem-solving skills.
Experience using statistical computer languages (R, Python, SQL, etc.) to manipulate data and draw insights from large data sets.
Knowledge of a variety of machine learning techniques (clustering, decision tree learning, artificial neural networks, etc.) and their real-world advantages/drawbacks.
Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.
Prior experience with visualization tools such as D3.js, HTML, and CSS is a plus.
Linux server-side application administration experience (RStudio Server, Shiny Server, RStudio Connect) a plus.
Experience with distributed data/computing tools: Hive, Impala, Spark (pyspark, sparklyr), GCP BigQuery, AWS S3 etc.
Excellent written and verbal communication skills for coordinating across teams.
A drive to learn and master new technologies and techniques.
Education/Experience

BA/BS(4 year degree) + with a minimum of 4-6 years of related experience.

Take a look at the IT Team! Listen to our employees - see our staff and their stories.

https://www.themuse.com/profiles/subaruofamerica",3.9,"Subaru of America
3.9","Camden, NJ",-1,1001 to 5000 Employees,1968,Subsidiary or Business Segment,Transportation Equipment Manufacturing,Manufacturing,$500 million to $1 billion (USD),-1
Data Scientist/Applied Mathematician R-20,-1,"Data Scientist/Applied Mathematician R-20
The successful applicant will work in a team of researchers active in the areas of computational combustion, propulsion system development and laboratory testing. There will be opportunities to interact with leading researchers in applied mathematics and aerospace engineering in academia and industry. This position involves (a) developing and deploying high fidelity flow simulation software and (b) applying state of the art tools in model reduction, machine learning and design optimization, primarily to model unsteady turbulent combustion phenomena in engineering devices. There will be applications in a number of other areas of aerospace propulsion.
Qualifications
MS or PhD in Mathematics in Mechanical/Aerospace/Chemical Engineering
Must have a strong background in gas dynamics and computational fluid mechanics
Background in modeling turbulent flow and/or chemically reacting flows is desirable
Familiarity with parallel computations, CAD, and grid generation skills is desirable
Knowledge of LINUX environment, MATLAB, Python, R, FORTRAN, C++. Must know as many as possible.
Must be a US Citizenship with ability to obtain a security clearance
Must be able to pass a background check
Summary of Essential Job Functions
Developing and deploying high fidelity flow simulation software
Applying state of the art tools in model reductions, machine learning, and design optimization, primarily to model unsteady turbulent combustion phenomena in engineering devices
Work in a team of researchers active in the areas of computational combustion, propulsion system development, and laboratory testing
Experience in numerically solving partial differential equations, with a particular focus on fluid equations and turbulence preferred
Must be able to operate in a team environment
Good interpersonal, reporting, and communication skills (written and verbal)
Collaboration with external research groups
Participate in technical symposia
Publishing in refereed journals
Maintaining a strong international reputation is expected
Work environment is inside with possibility of teleworking
Work schedule is a 9-80 schedule
There are no special requirements for this position
Job Type: Full-time
Pay: $75,000.00 - $105,000.00 per year
Benefits:
401(k)
Dental insurance
Health insurance
Paid time off
Schedule:
Monday to Friday
Education:
Master's (Required)
Experience:
Matlab: 1 year (Preferred)
Python: 1 year (Preferred)
C++: 1 year (Preferred)
FORTRAN: 1 year (Preferred)
Work Location:
One location
Work Remotely:
No
COVID-19 Precaution(s):
Remote interview process
Personal protective equipment provided or required
Social distancing guidelines in place
Virtual meetings
Sanitizing, disinfecting, or cleaning procedures in place",5.0,"Exquadrum, Inc.
5.0","Edwards AFB, CA",-1,1 to 50 Employees,-1,Company - Private,Research & Development,Business Services,$1 to $5 million (USD),-1
Data Scientist,$94K-$158K (Glassdoor est.),"Date Posted:
2020-11-03-08:00
Country:
United States of America
Location:
UTNB1: Corp - Brooklyn NY 55 Water St, Brooklyn, NY, 11201 USA
Raytheon Technologies
Raytheon Technologies Corporation is an aerospace and defense company that provides advanced systems and services for commercial, military and government customers worldwide. It comprises four industry-leading businesses – Collins Aerospace Systems, Pratt & Whitney, Raytheon Intelligence & Space and Raytheon Missiles & Defense. Its 195,000 employees enable the company to operate at the edge of known science as they imagine and deliver solutions that push the boundaries in quantum physics, electric propulsion, directed energy, hypersonics, avionics and cybersecurity. The company, formed in 2020 through the combination of Raytheon Company and the United Technologies Corporation aerospace businesses, is headquartered in Waltham, Massachusetts
Position
We are seeking highly motivated data scientists to join the Digital Accelerator team in either Brooklyn, NY or Atlanta, GA. We are looking for people who have a passion for analyzing and uncovering digital insights from large, complex streams of data derived from the worlds most advanced aerospace, aviation and building management systems.

As a member of the team, you will work on the research, development, and implementation of complex machine learning systems to predict rare events and faults in aerospace and building system components.

This position will provide the unique opportunity to operate in a start-up-like environment within a Fortune 50 company. Our digital focus is geared towards releasing the insights inherent UTCs best-in-class products and services. Together we aim to achieve new levels of productivity by changing the way we work and identifying new sources of growth for our customers.

Job Responsibilities include:
Develop models and algorithms that will improve how we design, manufacture, monitor, and maintain industrial assets such as jet engines and other aviation systems.
Conduct exploratory data analysis
Participate in early stage R&D work to further advance the ML platform
Collaborate with software development to implement and deploy newly developed technologies and algorithms
Work with business units and lead data scientists to implement real-world critical use cases on the platform
Build scripts to automate, clean, transform, cross-reference and merge large sources of data utilizing Python
Results-oriented with a strong sense of ownership in delivering for our customer and businesses
Qualification:
5+ years related experience
Deep knowledge of machine learning, statistics, optimization or related field
Experience with R, Python, Perl, Matlab
Experience with industrial/commercial applications of data science including prognostic and health management, supply chain optimization, and human capital management is a significant plus
Excellent written and verbal communication skills along with the ability to well work in cross functional teams
Work experience in programming, data science, machine learning
Motivated self-starter with a strong enthusiasm to learn
Results-oriented with strong communication and customer focus
Ability to deal well with ambiguous and undefined problems
Education:
Masters or PhD in engineering, computer science, statistics, or operations research or related technical discipline
Raytheon Technologies is An Equal Opportunity/Affirmative Action Employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, sexual orientation, gender identity, national origin, disability or veteran status, age or any other federally protected class.
Privacy Policy and Terms:
Click on this link to read the Policy and Terms

Raytheon Technologies is an Equal Opportunity/Affirmative Action employer. All qualified applicants will receive consideration for employment without regard to race, age, color, religion, creed, sex, sexual orientation, gender identity, national origin, disability, or protected Veteran status.",3.8,"Raytheon Technologies Corporate
3.8","Brooklyn, NY",-1,10000+ Employees,2020,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1
